"iteration","Bx","By","EC"
5586,0.4477802673,-0.4329763865,0
5587,0.4332238594,-0.4240755237,0
5588,0.4570106018,-0.4266633355,0
5589,0.4507211064,-0.427223794,0
5590,0.4586443123,-0.4576833525,0
5591,0.426582132,-0.4292777607,0
5592,0.464425699,-0.4495911524,0
5593,0.4530834945,-0.469310659,0
5594,0.4515551824,-0.422738588,0
5595,0.4631792797,-0.4167594584,0
5596,0.446486939,-0.4256620751,0
5597,0.4490472756,-0.4153024146,0
5598,0.442968862,-0.4313896899,0
5599,0.4662753954,-0.4272812356,0
5600,0.4399446117,-0.4387885844,0
5601,0.45929277,-0.4233435776,0
5602,0.4612916144,-0.4322701728,0
5603,0.4440373477,-0.4484753942,0
5604,0.4514626473,-0.4501029907,0
5605,0.4437812804,-0.4252415942,0
5606,0.4565209209,-0.4497148524,0
5607,0.4549581518,-0.4489256921,0
5608,0.4517734887,-0.4581503258,0
5609,0.4509919052,-0.4257069711,0
5610,0.4560970678,-0.4260901467,0
5611,0.4512318465,-0.4243695281,0
5612,0.4572040699,-0.4433831045,0
5613,0.4296372079,-0.4537449202,0
5614,0.4465039713,-0.441090935,0
5615,0.4638458325,-0.4715203716,0
5616,0.4726924524,-0.448226061,0
5617,0.4252707821,-0.4687856721,0
5618,0.4625730024,-0.4288218125,0
5619,0.4487079047,-0.4355941862,0
5620,0.4463039794,-0.4426607364,0
5621,0.4546392905,-0.4392078716,0
5622,0.4673331633,-0.4584807818,0
5623,0.4291748027,-0.4471247704,0
5624,0.4443442374,-0.4540834161,0
5625,0.4499284656,-0.4472110101,0
5626,0.4455026294,-0.4492635114,0
5627,0.4460305268,-0.4726084737,0
5628,0.435024787,-0.4677062375,0
5629,0.4680848336,-0.4771098084,0
5630,0.4539423623,-0.4590815065,0
5631,0.4624125135,-0.4618698722,0
5632,0.4649878744,-0.4983060489,0
5633,0.4220211794,-0.4554851307,0
5634,0.4495154365,-0.4602630166,0
5635,0.444502634,-0.4627807801,0
5636,0.4369783052,-0.465011918,0
5637,0.4626935817,-0.4825468796,0
5638,0.4503487179,-0.4644594581,0
5639,0.4558828365,-0.4511632683,0
5640,0.4608725168,-0.453214705,0
5641,0.4610287836,-0.4629675701,0
5642,0.4683702218,-0.4564090078,0
5643,0.4519775891,-0.4213538064,0
5644,0.4518693941,-0.4792678506,0
5645,0.4737107241,-0.4501839492,0
5646,0.4746806203,-0.4767705872,0
5647,0.4612881338,-0.4543170185,0
5648,0.4448252047,-0.4555263922,0
5649,0.4606190712,-0.4816708639,0
5650,0.494858062,-0.4604012112,0
5651,0.4887821809,-0.4653610543,0
5652,0.4849523344,-0.4451928236,0
5653,0.4652289693,-0.4725460026,0
5654,0.4855661848,-0.4111611485,0
5655,0.4878138364,-0.4475234719,0
5656,0.4529242228,-0.4523701666,0
5657,0.4425846007,-0.462591839,0
5658,0.4629953729,-0.4287542957,0
5659,0.466071062,-0.4280883716,0
5660,0.4614674048,-0.4435580381,0
5661,0.4843683045,-0.4336829154,0
5662,0.4698209804,-0.426074233,0
5663,0.4611178373,-0.4363850402,0
5664,0.465186425,-0.4623148842,0
5665,0.4597735868,-0.448359969,0
5666,0.4334154311,-0.4586060853,0
5667,0.4648835488,-0.4477939335,0
5668,0.4621423656,-0.4487746948,0
5669,0.464599763,-0.430193274,0
5670,0.457922085,-0.4335834097,0
5671,0.4318796474,-0.4531173478,0
5672,0.4804855533,-0.4612718332,0
5673,0.4493822313,-0.4186319749,0
5674,0.4475504076,-0.4538334446,0
5675,0.4392361018,-0.4371124773,0
5676,0.4387103636,-0.4490568927,0
5677,0.4700968131,-0.4131211853,0
5678,0.4632219412,-0.4253146841,0
5679,0.4646776462,-0.4224052609,0
5680,0.4635056539,-0.4266001966,0
5681,0.4504539471,-0.436359866,0
5682,0.452210825,-0.4251882713,0
5683,0.4742939198,-0.4412533875,0
5684,0.4690906682,-0.4515541493,0
5685,0.4866117004,-0.4259871531,0
5686,0.4542415394,-0.4381147625,0
5687,0.4714981521,-0.4312613377,0
5688,0.4680067701,-0.4302433449,0
5689,0.4896074908,-0.4360795297,0
5690,0.4761762586,-0.4471271674,0
5691,0.4672853662,-0.4391095097,0
5692,0.4646757536,-0.4516633103,0
5693,0.4486733769,-0.4239464771,0
5694,0.4992378263,-0.4481899802,0
5695,0.4727542264,-0.4442792099,0
5696,0.4719228694,-0.4494320075,0
5697,0.4690593853,-0.4689920749,0
5698,0.5023308869,-0.4457163495,0
5699,0.4605746605,-0.4263007964,0
5700,0.4675377826,-0.4374803093,0
5701,0.4683629649,-0.446110665,0
5702,0.478726994,-0.4561690596,0
5703,0.4537637062,-0.4375141728,0
